col_name,"Rates,OO ,Banks","Rates,OO , All institutions","Rates,OO,Var, Banks","Rates,OO,Var, Banks","Rates,OO,Fixed =<3 years","Rates,OO,Fixed =>3 years","Rates,OO,Interest Only","Rates,OO,P&I ","Rates,New Loan, OO,All Loans, Banks","Rates,New Loans, OO,All Loans, All Institutions","Rates,New Loans OO,Variable All Loans, Banks","Rates,New Loans , OO,Variable All Loans, All Institutions","Rates,New Loans OO,Fixed =<3 years ","Rates,New Loans OO,Fixed =>3 years","Rates,New Loans OO,Interest Only","Rates,New Loans OO,P&I ","Rates,New Loans OO,LVR <81%","Rates,New Loans OO,LVR =>81%","Rates,New Loans OO,Price =<$600,000","Rates,New Loans OO,Price $600K -$1 mil","Rates,New Loans OO,Price > 1 Mil$600,000","Rates,Existing Investment Loan, All Loan,Banks ","Rates,Existing Investment Loan, All Loan,All Institutions ","Rates,Existing Investment Loan, Variable, Banks ","Rates,Existing Investment Loan, Variable, All Institutions ","Rates,Existing Investment Loan, Fixed=< 3 years","Rates,Existing Investment Loan, Fixed=. 3 years","Rates,Existing Investment Loan, Interest Only","Rates,Existing Investment Loan,      P&I Only ","Rates,New Loans, Investment Loan, All Loans,Banks ","Rates,New Loans, Investment Loan, All Loans,All Institutions ","Rates,New Loans, Investment Loan, Variable, Banks ","Rates,New Loans, Investment Loan, Variable, All Institutions ","Rates,New Loans, Investment Loan,Fixed=<3 years","Rates,New Loans, Investment Loan,Fixed=>3 years","Rates,New Loans, Investment, Interest Only","Rates,New Loans, Investment, P&I Only","Rates,New Loans, Investment, LVR=<81%","Rates,New Loans, Investment, LVR=>81%","Rates,New Loans, Investment,                      Price =< $600K","Rates,New Loans, Investment,                       Price = $600K - $1million","Rates,New Loans, Investment,                       Price => $1million"
31/07/2019,3.83,3.84,3.80,3.81,3.94,4.35,4.31,3.77,3.52,3.49,3.53,3.50,3.43,3.76,4.00,3.52,3.47,3.56,3.49,3.47,3.52,4.31,4.31,4.36,4.35,4.17,4.69,4.49,4.15,3.96,3.88,4.00,3.90,3.81,4.15,4.16,3.79,3.88,3.96,3.87,3.92,3.92
31/08/2019,3.81,3.82,3.78,3.79,3.91,4.28,4.35,3.75,3.47,3.47,3.51,3.51,3.21,3.62,3.95,3.43,3.46,3.51,3.47,3.46,3.49,4.27,4.27,4.31,4.31,4.15,4.62,4.48,4.11,3.91,3.88,3.97,3.92,3.69,4.15,4.08,3.77,3.88,3.92,3.88,3.88,3.91
30/09/2019,3.78,3.79,3.76,3.77,3.89,4.26,4.32,3.73,3.44,3.44,3.50,3.49,3.16,3.29,4.01,3.39,3.43,3.48,3.44,3.43,3.48,4.24,4.25,4.28,4.28,4.14,4.65,4.47,4.09,3.88,3.86,3.93,3.90,3.65,3.90,4.05,3.73,3.85,3.89,3.85,3.86,3.88
31/10/2019,3.68,3.69,3.64,3.64,3.87,4.20,4.29,3.61,3.29,3.28,3.34,3.33,3.01,3.11,3.86,3.23,3.27,3.33,3.29,3.27,3.30,4.05,4.07,4.03,4.05,4.10,4.52,4.30,3.92,3.70,3.68,3.74,3.71,3.49,3.79,3.86,3.57,3.68,3.73,3.68,3.70,3.68
30/11/2019,3.67,3.67,3.63,3.63,3.83,4.10,4.27,3.59,3.27,3.26,3.32,3.31,2.97,3.04,3.83,3.21,3.25,3.31,3.28,3.24,3.26,4.03,4.04,4.02,4.03,4.08,4.42,4.28,3.90,3.67,3.65,3.71,3.69,3.41,3.68,3.84,3.54,3.65,3.68,3.66,3.66,3.64
31/12/2019,3.64,3.64,3.61,3.61,3.79,3.98,4.25,3.57,3.23,3.23,3.29,3.28,2.96,3.03,3.79,3.18,3.22,3.29,3.24,3.22,3.23,4.01,4.02,4.00,4.01,4.05,4.30,4.27,3.88,3.64,3.61,3.68,3.65,3.39,3.65,3.80,3.51,3.61,3.66,3.63,3.62,3.61
31/01/2020,3.63,3.63,3.61,3.60,3.76,3.89,4.27,3.56,3.21,3.21,3.26,3.26,2.95,3.00,3.83,3.17,3.20,3.27,3.23,3.20,3.21,4.00,4.01,3.99,4.00,4.03,4.22,4.25,3.87,3.59,3.57,3.63,3.60,3.36,3.57,3.74,3.48,3.57,3.63,3.59,3.58,3.57
29/02/2020,3.60,3.60,3.57,3.57,3.73,3.82,4.23,3.53,3.20,3.21,3.24,3.25,2.94,3.06,3.76,3.16,3.19,3.26,3.21,3.20,3.21,3.97,3.98,3.95,3.97,4.01,4.14,4.22,3.84,3.57,3.57,3.62,3.61,3.28,3.46,3.72,3.47,3.56,3.59,3.57,3.58,3.57
31/03/2020,3.36,3.37,3.30,3.31,3.68,3.75,4.00,3.30,2.94,2.96,2.97,3.00,2.75,2.81,3.53,2.92,2.93,3.05,2.98,2.94,2.93,3.75,3.76,3.67,3.69,3.98,4.06,4.02,3.62,3.29,3.31,3.33,3.34,3.11,3.22,3.47,3.21,3.30,3.34,3.32,3.30,3.30
30/04/2020,3.30,3.32,3.26,3.27,3.54,3.62,3.95,3.25,2.78,2.82,2.94,2.96,2.34,2.47,3.48,2.77,2.81,2.85,2.83,2.80,2.85,3.69,3.71,3.63,3.65,3.88,3.93,3.97,3.57,3.16,3.21,3.29,3.31,2.76,2.75,3.37,3.09,3.20,3.20,3.21,3.20,3.21
